bang son	Iceberg
bang ta	Assistant district chief
bang tam	"Pure heart, crystal-clear heart"
bang thinh	To listen in (class...)
bang thua	"Useless, of no use; superfluous"
bang tich	(ddi.a) Moraine
bang tro	"To aid, to help"
bang truong	Chief of congrelation
bang tuyet	"Ice and snow, purity"
bang vai	Of the same rank
bang vang	List of successful candidates (in feudal pre-Court and Court competition exams)
banh	Prison cell
banh	Howdah
banh	Swell
banh	Cake
banh	"Broad,square"
banh bach	vo bung banh bach To strike one's belly thuddingly
banh bang	Malabar almond-shaped cake
banh bao	"Smart, spruce, well groomed"
banh bao	Dumpling
banh beo	Bloating fern-shaped cake
banh bo	Sponge cake
banh bong	Ball-shaped cake made of popped glutinous rice grains and molasses
banh cha	Sweet meat pie in lumps
banh chay	Glutinous rice dumpling (filled with green bean paste in syrup)
banh che	"Patella, knee-cap, knee-pan"
banh choe	Haughty
banh chung	Square glutinous rice cake (filled with green bean paste and fat pork)
banh da	Dry pancake
banh da	Fly-wheel
banh da nem	Rice sheet (used to roll fried meat roll)
banh khao	Sweet short cake (made of roast glutinous rice flour)
banh khoai	Cake made of sweet potato meal (mixed with rice flour)
banh khoai	Plain rice flan
banh lai	Rudder; steering wheel
banh mat	"Just awake, very early"
banh mat	Molasses-sweetened glutinous rice cake (filled with green bean paste or groundnut)
banh mi	Bread
banh nep	Glutinous rice cake (filled with green bean and lard)
banh ngot	Cake
banh nuong	Pie (filled with various stuff)
banh pho	Rice noodle
banh phong	Glutinous rice chupatty
